set	id	turn1	turn2	turn3	turn4	turn5	turn6
train	chain2_1040_509_482_1203_576_825	What made you so sick?	I think it was something in the water.	Wow, that is awful.	It was - I should have known not to drink the tap water	Well, most places have relatively clean tap water. Not your fault for assuming.	Next time I will boil it first!
train	chain2_1272_8_1339_729_940_1067	I am fed up with soups, can I have some solids?	Once you are doing a bit better yes.	I feel better already.	Okay, we'll let's give it one more day.	Can't we try just a little? See how it goes?	It is better to wait just one more day, for your own good.
train	chain2_615_94_1122_760_681_662	Do you have any hobbies?	I love playing piano and singing. Also, I enjoy travelling with my family and exploring new places.	Have you been travelling anywhere lately?	Just got back from Vegas.	Oooh Vegas sounds awesome - how was it?	It was awesome- I was making over $500/night by dancing!
train	chain2_1348_331_3_19_911_337	Is there an accessible washroom nearby?	YES THERE IS, DOWN THE HALL.	Thank you very much.	You are very welcome.	Have a nice day!	I hope you do too!
train	chain2_400_65_313_523_913_1039	What did you do today?	Work work and more work	Sounds boring, but that's how it went for me as well.	Sometimes boring is better!	I'm not a fan of boring, makes the day seem longer.	You're right, we should just work all the time so we don't get bored.
train	chain2_191_243_53_319_405_984	What's your favorite time of day?	Dusk is my favorite time of day.	I prefer dawn because it makes me think of new beginnings.	I'm not a morning person at all.	I'm the opposite; I'm not a night person.	They do say opposites attract, right?
train	chain2_1215_917_319_547_832_520	Where is my purse?	IN YOUR ROOM.	Are you sure? I can't find it in there.	IT'S UNDER YOUR JACKET!	No need to yell at me; it was only a question!	I know, but you lose stuff all the time.
train	chain3_266_159_323_232_48_84	What was your favorite place to go as a child?	I loved going to visit my uncle.	What was your uncle like?	He was so nice, and he always had candy.	I think you just liked the candy he had to give you!	Well, that and those horses he had.
train	chain2_763_522_714_643_875_229	How fast are you going?	Not fast at all	I asked how fast you were going, you didn't answer the question.	Not fast at all.	Stop the car. I'm getting out before you kill us both.	I am under the speed limit, for goodness sake! You always flip out when I'm driving!
train	chain2_24_1097_155_984_357_228	Why do you want to know?	Because I'd like to help.	I'm sorry, I don't really want to talk about it.	Well, let me know if you change your mind.	Ok. How are things with your new job?	Great. The manager said he is going to be training me to put the condiments on the buns next week. I'm really moving up the career ladder quickly here.
train	chain2_315_430_1222_112_995_817	What is your number?	I am not giving you my number!	C'mon!  I'm not going to give it out to anyone!	I don't share personal info with strangers.	What are you talking about? We've known each other for three weeks.	Ask me again in another three weeks.
train	chain3_357_348_299_189_328_256	What movie do you want to watch?	I'll watch anything, just no musicals.	Have you watched Finding Nemo?	Do they  sing at  all?	I think Dory does...I can't remember	That sounds terrible!
train	chain2_1588_1161_403_1003_529_28	What time does the game start?	IT STARTS AT 6:00PM.	Do you think it'll be a good one?	Definitely.  Did you see the last game between them?	Yes, that's why i am concerned.	Do you want to go watch at the bar?
train	chain3_54_164_332_245_67_116	What are you doing tonight?	You know what I'm doing tonight!	Are you just staying home to watch television?	yep , that wht i am doing. thats what i always do.	Well you can go out with me if you want instead.	You party a little too hard for me.
train	chain3_324_288_203_3_2_2	Hey, what do you want to eat tonight?	Tuna and rice	You were offered anything you want to eat tonight, and you are going to pick tuna and rice?	It's  been  a while since  we  have  had  that .	what kind of tuna? What kind of rice?	The usual kind, I guess!
train	chain3_225_57_118_231_44_76	What's your favourite time of the year?	My favorite time of the year is summer	I find summers to be too hot.	Some like it hot!	I prefer winter more.	No way, the winter is too dark and dismal for me.
train	chain2_38_400_962_1059_997_178	Can we eat later?	No I have already made plans to go out with Bob.	Why do you want to go out with Bob?  He always stiffs you with the bill and doesn't use utensils.	I feel bad telling him no.	You are just too kind.	Being too kind isn't a fault for me. It's better to be kind than mean.
train	chain2_1433_1349_520_1239_635_132	Can you take me to my appointment at ten tomorrow?	No, we're all booked up tomorrow. I'll call if there's an opening in the schedule.	All right, thank you.	Can I have your number?	Did I not give it to you already?	I just want to make sure I have it down right.
train	chain2_194_197_1085_541_637_552	Do you prefer yellow or green?	I like green more than yellow.	I do too.	Never mind, I like yellow more than green	Not me. I still like green.	Do you have a favorite yellow flower?
train	chain2_94_49_530_1249_869_791	I'm hungry, what time will dinner be ready?	IT WILL BE READY IN 20 MINUTES.	Do you have anything I can snack on?	No! I've been slaving away in the kitchen all day, I'm not going to let you spoil your appetite!	Are you sure there is nothing I can eat?	You won't starve in 20 minutes.
train	chain2_1316_530_1254_266_169_494	Can you bring me a sweater?	Which one do you want?	The Red one, with the fringe.	Sorry I washed that today, it's in the dryer.	I'll go get it then.	Not if I get it first!
train	chain2_1912_1352_878_585_615_782	Why should I shut up?	You shouldn't. You should be loud and proud, brotha man.	Finally someone who knows how to treat me like the queen I am!	Queen of my double-wide trailer, come on over here next to me.	No, since I'm the queen you come on over to me.	I'm not coming over there, you want me around, you come over here!
train	chain2_463_1325_643_295_738_843	Who are you voting for this election?	I'll vote for whoever I think is the best candidate.	Please don't vote for Trump	WHO DO YOU PLAN TO VOTE FOR?	I haven't decided.	Who do you think would make a better President by what you have heard about each candidate?
train	chain2_808_148_636_260_562_579	Do you want to watch a movie with me?	I do not have time right now, I am working.	What are you working on?	I need to finish this project and then I have to do the laundry. I wanted to change the bed tonight.	I can do the laundry while you finish up your project. Then we can watch a movie.	Thank you, that would help a lot. maybe make the bed while the laundry is in?
train	chain3_97_236_96_187_326_253	Can we go to brunch?	When would you like to go?	I want to go now; I can eat a cow!	Where do you want to go?	We should try the new restaurant at the oceanfront!	Not sure they would have a cow.
train	chain2_601_578_1282_382_73_739	When is he coming to see me?	He's on his way right now.	Do you think he'll like my dress?	YES IT'S A GREAT DRESS!	Thanks! I hope he does like it.	He will love it
train	chain3_388_407_34_71_129_219	What color should I dye my hair?	I've always been fond of red heads.	Yeah, but I was thinking more of a light blonde.	Oh yes...you would be a great blonde!	do you think it will go well with my eyes?	Sure, why not?
train	chain3_367_368_335_252_79_140	May I offer you some wine?	Yes, I would love some.	Do you like red or white wine?	I prefer white	I am sorry, it turns out we don't have any white wine at the moment. Would red wine be okay?	Of course i know if it is a wine you own no matter the color i know its of fine quality
train	chain3_452_115_227_42_83_147	Do you think you'll go on vacation this year?	I am actually planning a trip to go away this fall.	That's great, where do you plan on going?	I'm thinking of going backpacking as a tourist through Afghanistan with my wife.	That's dumb, but have fun	It actually isn't as dangerous as people think.
train	chain2_1342_1250_830_169_429_96	What's your favorite type of food?	If I had to choose, probably sushi.	Awesome!  That's mine too!	I really love California rolls.	Those are also one of my favorites!	Do you have a favorite sushi restaurant?
train	chain3_316_272_174_338_234_71	Did you hear about the hotel fire yesterday?	No! Which hotel?	The Motel 6 by the freeway burnt down!	No way, that's horrible!	Luckily no one was hurt.	What caused the fire?
train	chain3_56_168_340_261_96_166	Any thing going out today?	A small stack of letters and one package.	Add this package to the pile.	Why are you mailing a package this large?	Trust me, you don't want to know!	Okay, keep it a secret then. I don't care.
train	chain2_478_1369_1221_108_299_749	How often do you exercise?	I exercise everyday.	How long do you workout?	As long as I can until my energy is depleted.	What do you do for exercise?	I start with some cardio and end with strength training.
train	chain2_140_1010_198_1143_581_293	Can I ride to the polling place with you?	Sure, I'll pick you up.	What time are you going?	I want to go right after lunch. Does that work for you?	What time is that specifically? I have a few things going on.	At 2pm. Is that a good time for you?
train	chain2_848_1061_515_1234_195_363	Have you ever gone surfing?	No, but I would like to try.	So would I, but I'm afraid of sharks.	HOW LIKELY ARE SHARK ATTACKS?	I am not sure but with my luck I would get chomped for sure.	Well we can just pray to the Lord to protect us and that will guarantee our safety.
train	chain2_1635_187_1214_75_706_276	When are we leaving for your uncle's house?	We will leave very shortly.	How long will we be on the road?	It's about three hours if we don't stop for anything.	We should take a break on the way though, safety first!	There's a good midway stopping place.
train	chain2_2081_1422_759_890_1103_876	Have we bumped into each other before?	Not that I recall	I guess you just have a familiar face.	That must be it.	Can I buy you a drink?	Sure, and maybe one for my husband, he just went to the restroom.
train	chain2_1008_1001_1129_790_507_171	Can you take me to the physiotherapist?	Okay please get in my car.	I'll need your help to get in the car.	What do I need to do?	Just hold my arm so I don't fall.	Here you go, take your time.
train	chain2_208_1022_47_261_570_162	Are you going to church on Sunday?	Of course, I go every Sunday.	What church do you go to?	I go to the old catholic church downtown.	That thing is going to fall in one day.	I hope not, but it is very old
train	chain2_32_428_1020_104_627_789	What haven't you tried?	the raw beef entree	Why don't you order it, and if you don't like it, we can swap plates?	Ok, that's very nice of you.	I know; I'm the sweetest guy on earth.	I wouldn't go that far.
dev	chain2_531_1100_31_190_808_1015	Do you remember my password?	No, remember your own passwords. Geez.	You don't have to be so hateful.	I'm not, why would I know your password?	I told you what it was five minutes ago!	Well I wasn't paying attention, sorry.
dev	chain3_432_65_133_260_92_162	Where are you going by the way?	That is none of your concern, I do not know you.	oh, sorry. I thought you were someone else.	I hope you find that someone to be extremely attractive.	Anyone would be more attractive than you!	Right back at you, buster.
dev	chain3_383_396_383_342_241_83	How high can you jump?	I can't jump very high at all.	Neither can I really.	I used to be able to , until I got old.	How old ARE you?	Just turned 8 and a half last week!
dev	chain2_438_254_1090_572_1219_444	Would you please mail these letters for me?	I'll go to the post office on my lunch break.	Are you sure? The queue can be really long at lunchtime.	That's a good point, I'll drop them in the postbox on my way home from work.	Oh, could you pick up dinner on the way home too?	Sure. What do you want for dinner?
dev	chain2_759_1346_434_1105_781_939	What is your dog called?	Drogon the conquerer	Mine is called Little Bit.	That's a cute name! Is it short?	Actually he's a giant pit bill. We call him Little Bit because when he was a puppy he bit everything and everyone.	We call mine dragon the conquerer becaue he is 5 pounds but thinks he can take on all comers.
dev	chain2_924_1504_1394_987_1132_1049	Can I borrow your computer?	No, I need it for work.	Please, I'll pay you.	Just buy your own computer. I need mine.	But I'm totally broke, maybe I'll steal one from school!	Why don't you use the library PC?
dev	chain2_1221_1038_1328_661_453_594	Is there a pharmacy nearby?	Yes, on Main Street.	Oh great, thank you.	What do you need?	Just a few essentials and I don't want to drive too far.	you can order online if you don't want to drive.
dev	chain2_1004_368_761_903_1147_590	Can we go to the park?	YES, THIS EVENING.	What time exactly?	Does six work for you?	Yea, I think I can make it at six.	See you then!
dev	chain2_1042_983_529_1248_631_1004	Where is the hotel?	It is in downtown right by the convention center.	Oh, cool. Thanks!	Are you going to book it online?	Yes, I'm going to do that right now.	Book two rooms..
dev	chain2_501_633_798_1076_110_670	Can you set my alarm clock?	I will set it for 8 o clock.	Can you set it for 7:30 instead?	Is that your final answer?	Yes because I don't want to oversleep.	Okay well don't yell at me in the morning if you are grumpy and tired.
dev	chain2_107_252_775_953_382_308	Can I borrow a pencil?	Sure, but you will need to sharpen it.	You don't have a mechanical pencil?	No, the lead always breaks off those.	Do you have a sharpener I can borrow as well?	Ironically, my sharpener broke last week and I haven't had a chance to buy a new one.
dev	chain3_138_306_237_66_121_207	What are your plans for later?	I think I'm just going to stay in and watch a movie.	Sounds good. What movie are you going to watch?	I think I'll watch Harry Potter.	Have you read the Harry Potter books?	No, I haven't read a single one.
dev	chain2_1773_1205_523_1242_143_454	Where are you going?	I'm going home.	I WOULD LIKE TO GO WITH YOU.	Sure you can come along.	What will you do when you get home?	I don't know yet, probably watch TV.
dev	chain3_130_289_204_4_3_3	Did you run out of minutes on your phone again?	Yes,I find it difficult to keep track of my credit balance.	You should get a plan with more minutes.	First I need a job with more paycheck.	Welcome to my life!	Seems like it's going around!
dev	chain2_573_612_540_1259_188_1074	What have you done today?	I woke up and ate breakfast.	What did you have?	Bacon and eggs.  You?	I had a poached egg on wheat toast and a banana.	Sounds so filling
dev	chain3_30_113_224_35_71_123	Are out of your mind?	At this point, I think I may be.	Has this been going on long?	Since the daffodils started telling me their secrets.	Maybe we need to have you take a long rest. Vacation time!	May I bring my daffodils with me?
dev	chain2_415_985_818_120_1211_361	Do you think I will need to wear a coat when I go outside?	Yes, because if you don't you'll die.	Why, What's out there?	The cold  the cold is  outside .	Well, yeah, but, is it really that bad today?	It is really that cold
dev	chain2_2094_374_1239_198_1011_155	What is the time?	It is 1:48p.m.	Did you go to lunch already?	Yes, about an hour ago. But, would you like to go with us tomorrow when we go to the new buffet place?	Absolutely, that sounds like a treat!	So when are we meeting?
dev	chain3_212_23_49_98_180_286	Was it on this side of the street or the other?	No, it was further down on the next block.	Let me know when you think we are close.	You'll see a brightly lit sign. You can't miss it.	You would be surprised at how easy I get lost and will miss the sign.	Oh, there it is. You missed it.
dev	chain2_540_1225_99_554_96_102	May I pet your dog?	Sure, she really likes it when you scratch behind her ears.	She seems very friendly.	She is. She loves kids.	That's good. Some dogs definitely do not.	I know- at the dog park yesterday I saw a little toy poodle viciously attack and maul a pitbull that was on a leash.
dev	chain3_87_220_47_94_171_277	Your next appointment with who ?	It's with my cardiologist.	Is everything okay? That doesn't sound good.	Yeah, no worries, you just got my heart a beating baby!	That's the cheesiest line I've ever heard.	Are you really going to see your cardiologist?
dev	chain2_1589_513_803_37_138_309	What would you like?	I'd like a cheeseburger and fries.	Awesome!  Please step to the side and your order will be out in five minutes.	Excuse me, but I think you forgot to give me change...	You paid with your credit card, sir, there is no change.	I don't like your tone there, missy. I want to speak to the manager!
dev	chain2_893_713_266_292_1187_331	Have you and I met before?	Yes, many years ago at that crazy bachelor party in Reno.	Oh yeah, you were with Kevin...guy with the beard.	Yes! Do you still talk to any of the other guys?	Not very often. Most of them have moved away.	I keep in touch with one or two of them but most are in other places and we just never seem to get in touch.
dev	chain3_256_143_291_178_318_236	What did you get your Mother for Mother's Day?	a bouquet of red roses	I bet she really liked that!	They are her favourite.	Waitaminute, you told me your mother died last year!	She did. I brought them to her grave.
dev	chain2_0_646_1230_150_1060_100	Would you be interested in this?	Why yes, I would be interested in this book.	What interests you most about this book?	I read a favorable review.	Are you familiar with the author?	yes i am
dev	chain3_314_268_167_323_207_18	what did you learn in school today?	That people got dysentery and died.	Good thing dysentery isn't common anymore.	It could always come back.	Well, it's pretty unlikely	I'm thankful for that fact!
dev	chain2_627_1176_703_583_442_87	What church do you attend?	The Methodist church	What do you like about that church?	I like that they don't expect me to give them money.	You really should tithe at least, though.	I do when I can.
dev	chain2_925_535_260_267_393_83	Do you feel better?	No, I feel worse	Do you need anything?	Yes, some aspirin please.	I only have Tylenol. Is that OK?	Yes, Tylenol will be fine.
dev	chain2_325_881_265_285_550_769	What's the funniest movie you've ever seen?	Bridesmaids is the funniest movie I've ever seen.	Isn't it? Did you see it in the theater?	I did; I saw it with Jeff!	I thought you didn't like Jeff.	Stop judging my life choices, Grandpa.  Just because I don't want to marry some guy doesn't mean I can't go see a movie with him.
dev	chain2_132_904_978_1127_840_913	What is your name?	My name is Rey.	Nice to meet you Rey, anything I can do for you while I am here?	Yeah thanks, could you get me the menu and a club soda?	Absolutely, I will be right back.	Great, thank you.
dev	chain2_1840_1108_652_335_1198_112	How's you mother doing?	She is quite well now.	That's good!  I was worried about her!	Yeah she's doing a lot better thanks for asking.	When will they release her from the hospital?	In another three days.
dev	chain2_910_515_361_741_463_883	How was your trip?	It was great! We had a good time.	When did you get back?	Late Tuesday night.	Where all did you end up going?	We drove cross country and stopped at a lot of places. Do you want to see my photos?
dev	chain3_31_117_232_52_99_173	Why are you talking to me like that?	Because you're not listening!	I think you are being extremely rude.	You're not listening to me! That's rude!	Look here mister, I am listening to you. It is not my fault if you don't make any sense when speaking.	You need to calm down and take a deep breath.
dev	chain3_342_319_256_105_195_301	Hey, do you know if there's a sale at that trendy clothing store today?	No there are never sales in that store.	That's unfortunate, they have so many great pieces in there.	I know. I too wish they had a sale someday.	What if I told you there was a sale today? Would you go?	Of course I would!
dev	chain3_447_102_200_379_308_214	What should we get dad for Father's Day?	What about a robot vacuum cleaner?	Or a golf gift certificate	Dad hates golf. What's wrong with you?	Sorry, I was having a flashback to the war.	Did you golf during the war?
dev	chain2_454_1148_1360_816_1098_260	I like music, could you play some CDs for me?	You want country or pop?	I would prefer some old school country, please.	I have a blue grass CD, will that work?	Sure, let's try that.	My grandpa got me into bluegrass.
dev	chain3_140_309_244_81_147_243	What time is dinner?	Dinner tonight is at 7 pm.	What are you making?	Are you kidding me? It's your turn to make dinner!	No it's not!  I made dinner last night!	Can you please make it tonight?  I'm so tired from working all day.
dev	chain2_1803_1023_119_798_607_45	Can you send me a picture of the assignment?	Yes, I will email it to you later.	Great, Thank you!	LET ME KNOW WHEN YOU GET THE EMAIL.	I will. Do you think this assignment will take long to do?	Depends on how well you know the topic.
dev	chain2_586_736_176_1064_678_191	Can you arrange a meeting?	Yes how about right now?	That's even better!  Go ahead and grab a seat.	Okay, I'll be in conference room number one.	Oh and don't forget we will be talking about the surprise party.	what surprise party?
dev	chain2_1586_1063_148_952_493_604	Do you want to stay?	No, I miss my home.	Please don't go, I'll miss you.	I'll come to visit you every weekend.	Well okay then, I guess I'll cope.	You should try and visit me whenever you can also.
dev	chain2_462_1093_1258_281_27_828	Is it far from here?	NO, NOT MUCH FURTHER.	Are you sure? Because I'm getting hungry.	I'm positive, it's only about ten miles.	When we get there can we eat first?	Of course and we'll take a bathroom break too. I do have snacks in the cooler if you'd like to munch on something small to hold you over for a little bit until we get there.
dev	chain2_332_102_122_810_814_654	Can you take me somewhere?	Where do you want to go?	The supermarket near the mall.	Which one, Cubs or Lunds?	I want to go to Lunds because its cheaper	What do you want to buy anyway?
dev	chain2_1849_305_745_820_579_450	What kind of mascara are you wearing?	Maybe it's Maybelline.	Was it very expensive?	Not at all, about seven dollars. Good value.	Seven dollars?  I just use charcoal that I get for free from the refinery.	If you keep using it, you might get serious health issues.
dev	chain2_524_478_799_1082_1006_313	Have you met them yet?	Yes but only briefly	They're very nice people.	I THOUGHT SO TOO!	OK, but you really don't have to yell.	Sorry I just get excited.
dev	chain2_102_786_932_845_1041_418	Where did you find it?	I found it under the couch.	Let me have it please.  Those belong to me.	OK, but I think the dog chewed it some.	What! I knew that dog has had it out for me!	Oh come on! He is just a dog!
dev	chain2_860_768_1276_357_1184_1019	Do you want to eat at home?	No, I would rather go out.	Please, we could stay home and eat in bed.	That just sounds silly.	I am silly. Silly for you, you goof.	I love you.
dev	chain3_9_50_108_205_11_17	WHAT DID YOU DO FOR THE HOLIDAYS?	I ate too much.	What did you eat?	Turkey, stuffing, yams, green bean casserole, mashed potatoes, dinner rolls with butter, pumpkin pie and cherry cheesecake.  This is why I'm fat.	You're not fat!	Well I am definitely not skinny.
dev	chain2_1489_64_893_648_184_681	What is your favorite dish?	I love calzones.	I love calzones also.	Have you tried them at the new pizzeria by the mall?	Yes! Unfortunately, they made me break out in hives.	Oh no, that's terrible!
dev	chain2_1075_451_343_668_312_653	How is the weather outside?	It's nice and sunny	Awesome!  My favorite weather!	Shall we head over to the water park?	Yes, just give me a few minutes to get my bathing suit.	Don't forget a change of clothes too.
dev	chain2_774_417_1302_526_549_987	Did you see the match today?	Yes i did	It was so boring.	Agreed. I almost fell asleep.	I hope the next one is more exciting. Who is he playing against then?	I don't know, some new guy.
dev	chain2_171_436_620_189_1073_273	How is this dress?	That dress looks great on you!	It doesn't make my butt look fat?	Not at all. The ruffles are hiding it.	So my butt looks fat?	No you can't see your butt because of the ruffles.
dev	chain2_1709_717_623_210_1088_1021	What if I don't make it?	You will, you will be just fine.	Okay I will try.	You can call me if you have any problems.	But you never answer my voicemails.	That's because no one uses voicemail anymore...
dev	chain2_1795_1078_1052_362_626_387	Would you like to go to get coffee?	Yes, I could use a good cup of coffee	Do they have food at the coffee shop?	Sure, but it's honestly not very good.	Good to know, is there another place that has good coffee and food?	The restaurant up town has amazing food
dev	chain3_153_331_270_132_250_104	What's your favorite food?	I like any type of Asian food.	Can you be a little specific? I was planning a surprise!	Thai food is always welcome.	I love Thai food too! Have you been to Thailand?	I've never left the country!
dev	chain2_857_110_8_45_161_57	How did you like the movie?	It was a bit boring but it had its moments.	Oh yeah? What was your favorite part in the movie?	There was a funny scene where they were making jokes in the car	That doesn't seem too exciting.	It was a more a feel-good family movie than an sction-packed thriller.
dev	chain2_1518_1087_570_1288_538_133	Do you need another drink?	I need a lot more drinks	Why? What's going on?	Nothing I was just hoping to get you to buy me a lot of free drinks tonight.	That's pretty funny, but you had me worried there for a minute.	Just buy me a drink already please. Long island iced tea.
dev	chain2_398_730_297_446_1038_333	When do your holidays begin?	In about four weeks.	Where are you planning to go in holidays?	I will probably go to Hawaii.	Have you been there before?	No, this is the first time that I will visit Hawaii.
dev	chain2_464_836_553_1272_952_214	Can I go to bed?	Yes you can. See you in the morning.	Aren't you coming with me?	In a little while.	OK but if you change your mind I'll be reading for awhile.	Sounds good, I'll join you soon.
dev	chain2_1391_1162_550_1269_16_701	Where are we going?	I thought we'd stop by that little candle shop that you like.	Oh, thank-you so much!  You know me so well!	What is your favorite scent of candle?	I really like sandalwood.	They have a new scent called carnival.
dev	chain2_529_130_1145_876_125_521	Would you please make sure my insurance cards are in my wallet?	Yup. They're there.	You didn't take any money out of my wallet, did you?	Yeah I needed lunch money.	I will gladly give you lunch money, but don't take my money without permission! That's stealing.	I was already in your wallet, I didn't steal it I took it.
dev	chain2_595_841_477_1198_232_531	Are you going on a date?	Yes! Finally a night out with my hubby!	Where are you two going to do?	We are going to the movies.	What movie are you going to see?	We haven't decided, we usually discuss what to see over dinner.
dev	chain2_1948_92_559_1278_478_65	Where is a good place to eat around here?	There's a great casual place not far from here. The food is good and it's cheap.	What type of food do they have?	It's an Asian-French fusion restaurant. It was highly rated by a local blogger.	Wait, was this the same blogger who recommended the Thai place?	Yes she is amazing
dev	chain2_2092_644_517_1236_1030_797	Do you know if they are still accepting applications?	No, the deadline was yesterday.	Oh no, I missed it!	Sucks to be you.	I see you came in as runner up in the Compassion Awards.	Well, what can I say, if I weren't so modest I would be perfect.
dev	chain2_1895_392_746_824_6_449	What did you say?	I asked you what you did today.	I went jogging.	Where did you go?	Around the new development, They have a nice park there.	Really? That's great!
dev	chain3_175_372_341_262_100_175	Would you be so kind as to bring me my slippers?	They are literally two inches from your feet.  Quit being so lazy.	Watch your mouth, young lady!	Maybe I would if you could do anything without ordering me around.	Ill order you around all I please!	Yeah, and you won't get your slippers, though!
dev	chain2_13_1310_859_449_1042_659	What are we having for lunch?	I'm making grilled cheese on wheat, and tomatoe soup.	That's not lunch,that's a appetizer	Then you can make your own lunch!	Ok, I will!	and correct your grammar while you're at it.
dev	chain2_1671_656_164_1017_599_319	Where did the dog go?	She went out to the backyard with the kids.	What kids? we don't have kids.	With the neighbor's kids. They came over and asked if they could play ball with her for a bit.	Is somebody watching them?	Well duh of course
dev	chain2_793_1469_1132_811_300_673	Do you know where the remote is?	No but try checking underneath or between the couch cushions.	It always seems to end up there.	Grab any loose change you find.	No problem, I was going to do that anyway.	Also grab anything you find in there..
dev	chain2_1241_818_847_294_926_600	Can we go to Six Flags?	Six Flags is for chumps. Real men do it Disney.	Why don't you like Six Flags?	People die there.	Are you sure people don't die at Disney?	People unfortunately have died on Disney rides, haven't you read the media?
dev	chain2_927_1287_616_134_855_13	Do you have a dog?	Yes, I have 4 dogs	How much food do you need to buy a week?	More than I buy my family.	I bet that gets expensive.	You bet. dog food is expensive.
dev	chain2_350_153_988_1152_1077_373	Can we go out for a drive?	Yeah go start the car	Would you like to go to a movie after the drive?	I just have too much work to do tonight, sorry.	How about a movie tomorrow night?	I have to work tomorrow night, but we can go this weekend.
dev	chain2_1227_129_1177_1056_358_416	Could you please help me find someone to shovel my sidewalks?	I can put an ad up for you.	I would appreciate that. I pay well.	How much is well to you?	at least $20	That sounds about right!
dev	chain2_229_479_771_939_1179_24	Could you please tell the nurse that I have been getting constipated?	I will let her know	Also let her know that i've been trying fiber and anti constipation pills, but nothing has worked.	Have you been drinking plenty of fluids?	Yes, I've been drinking lots of water, Gatorade, and fruit juice.	Has your  food intake  changed ?
dev	chain2_636_1048_624_215_689_202	Is your daughter still in girl scouts?	NO she got bored of it.	I would think so.  She's 27 isn't she?	Haha. 8 going on 27!	She's growing up way too fast!	So what's she interested in lately?
dev	chain2_439_59_1380_918_1173_518	How many pets do you have?	I have 3 total pets.	What kinds of pets are they?	I have 2 dogs and a cat.	And they get along?	They are best friends.
dev	chain2_1596_470_415_1042_836_179	Can you help me?	Of course, what do you need me to do?	Reach that bottle of wine on the top shelf.	What are going to do with the wine?	I'M GOING TO USE IT IN THE FOOD I'M MAKING FOR DINNER	Please stop yelling silly.
dev	chain2_1724_206_370_781_734_622	Will I be able to walk again?	With exercise and therapy it's likely.	How long do you think that will take?	It will probably take several months.	Well I guess my tennis career will have to wait.	Your tennis career may not have to wait that long. Make that your ambition and work harder so you can be even more successful at tennis. That drive will make you work harder during your therapy sessions.
dev	chain2_364_826_90_512_1162_291	How was your night?	it was okay	Did you sleep well?	Pretty well, but I had some bad dreams.	That's never fun.	Well yeah, but now that I'm awake I can go on with my day.
dev	chain2_904_1149_1111_699_468_519	Could you please turn off the television?	No, this is my favorite show	Please, I don't want to watch it.	I'll put it on the DVR, but you don't know what you're missing.	It's been a long day. Maybe I'll watch it with you later.	So what do you want to do in the meantime?
dev	chain2_1759_810_296_443_1213_327	Do you need gas?	No my tank is full	Well I can still give you a couple of bucks for taking me home today.	That's okay, you can drive tomorrow.	I'd rather you drive tomorrow, if you don't mind.  Why should I put the wear and tear on my car when I could just give you a few bucks for gas?	Why am I still driving you if that's your attitude? How about you put some wear and tear on your shoes right now and get the hell out of my car?
dev	chain2_56_381_1358_807_1140_207	Where is my daughter today?	She's with her grandparents.	What are they doing?	I think they're going to the zoo!	I hope she has fun.	She always has fun with her grandparents.
dev	chain2_204_630_357_730_704_829	Who is coming today?	Your Dad is coming to visit you.	Is he mad at me?	I don't think he is mad. Should he be mad at you?	Well last time we talked he seemed kind of short with me.	Everyone seems short with you when you're 6'6. Ha ha.
dev	chain2_1417_694_728_719_1194_251	Could you please get me one of my painkillers?	No, you've had way too many already	I don't care.  The pain is still killing me!	We could go to the ER to see if there's something else going on that's causing you more pain than your painkillers can handle.	That may be a good idea.	Sounds like a plan. Do you want me to drive you?
dev	chain2_664_1153_249_213_93_1027	Will you help me?	Yes definitely I will help you.	Thanks, can you just hold this right there?	Yes, sure. I've got it.	Let me know if it gets too heavy for you.	It's too heavy!
dev	chain2_970_1513_62_353_980_714	Will you please feed the dog?	Sure why not	He requires water too!	I know, I'll give him water.	He'll love you forever once you've fed him.	I might plan to take him home with me.
dev	chain2_982_545_784_998_1101_422	Did you feed the dog today?	Yes I put some food in his bowl.	It's already empty.	Then he ate it obviously.	There's no need for you to get snippy with me.	Well hello there, tone police.
dev	chain2_1223_45_1120_749_301_302	Can you please get me something to eat?	Yes I can get you something now.	Thanks, I just need a snack.	How about some peanuts?	Sure, that sounds great.	Do you like salted, unsalted, or flavoured?
dev	chain2_831_1460_549_1268_1096_358	How do you like your food?	IT WAS GOOD.	Would you recommend it to a friend?	I sure would.	Then I'll go and get some tomorrow.	I am sure you will enjoy the food too.
dev	chain2_71_497_331_603_939_1036	Who do you want to win the match?	I always root for the underdog.	So who is the underdog here?	For me it has to be the Hawks, they've lost every game this season.	Sounds like a true underdog to me.	I even made a 50 dollar bet on them.
dev	chain2_6_238_594_1310_851_310	Is lunch almost ready?	Yes, give me ten more minutes.	What are you cooking since so long?	Pizza, I ordered it from Domino's and it's on the way.	Well that explains it!	I haven't been grocery shopping yet, so you're getting delivery or nothing. You might as well not complain.
dev	chain3_339_316_254_103_192_298	Did you see that bad accident last night?	Yes, it was caused by the sink hole!	I wish I never have to experience something like that firsthand!	Oh i know what you mean. Maybe we should move to someplace that doesn't have that problem.	But there are sink holes in all parts of the world. I think we just need to be careful and pay attention when we are driving.	I suppose. It still worries me, though.
dev	chain2_1383_839_1321_626_951_267	Are the phone lines down?	Yes, I noticed we were having trouble.  I saw the neighbor who told me the lines were down when I went to check the mail.	I'll have to call the office tomorrow then.	They are not open tomorrow, it's a holiday.	Duh, I can just use my cell phone.	Oh, that's right!
